gid,due_on,name,notes,start_on
1183227008066225,2020-07-16,ewrwe,,null
1183227008066232,null,ra,,null
1183202345123371,2020-07-07,Design welcome email graphics,,null
1183202345123373,2020-07-08,Film customer video,,null
1183202345123375,2020-07-09,Redesign landing page,,null
1183372481645172,null,[READ ME] Instructions for using this project,"This project template is set up in List View with sections and Asana-created Custom Fields to help you track your team's work. We've provided some example content in this template to get you started, but you should add tasks, change task names, add more Custom Fields, and change any other info to make this project your own.

Send feedback about this template:
https://asana.com/research/templates-feedback",null
1183372481645177,null,[EXAMPLE TASK] Designs in progress,,null
1183372481645178,null,[EXAMPLE TASK] Summarize research sessions with UXR team,,null
1183372481645179,null,[EXAMPLE TASK] Competitor analysis and exploration,,null
1183372481645180,null,[EXAMPLE TASK] Share key learnings with broader design team,,null
1183372481645181,null,[EXAMPLE TASK] Bring design exploration to crit and implement feedback,,null
1183372481645182,null,[EXAMPLE TASK] Staffing plan,,null
1183372481645183,null,[EXAMPLE TASK] Interactive prototype,,null
1183372481645216,2020-07-15,test task2,"This is test task2

",null
1183372481645201,null,test task1,"This is test task1 for api testing.
😀",null
1183372481645223,2020-07-03,test2 task1,This is test2 task1,null
